Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.0833094, 0.00372822, 0.00640004, 0.00294334, 83890, 17028, 271623
0.00744985, 0.00381902, 0.00362744, 0.00120087, 83770, 17133, 107151
0.00498374, 0.00374796, 0.00123395, 0.000190787, 83933, 17082, 11517
0.00511935, 0.0038042, 0.00131306, 0.000141382, 83819, 17103, 7260
0.00390838, 0.00240581, 0.00150109, 0.000336878, 83656, 17059, 27489
0.00503503, 0.0041645, 0.000868249, 0, 83657, 17095, 0
0.00424086, 0.00238501, 0.00185442, 0.000358236, 83616, 17134, 19701
0.00537267, 0.00446562, 0.000904374, 0, 83864, 17138, 0
0.00432502, 0.00349797, 0.000824009, 0, 83853, 17102, 0
0.0050528, 0.00409149, 0.000958793, 0, 83676, 17121, 0
0.00487079, 0.00398383, 0.000884083, 0, 83853, 17102, 0
0.00302264, 0.0024957, 0.000524528, 0, 83933, 17082, 0
0.00408796, 0.00311741, 0.000967768, 0, 83920, 17140, 0
0.00407003, 0.00347999, 0.000587841, 0, 83625, 17110, 0
0.00448807, 0.00345454, 0.00103186, 0.000181268, 83806, 16925, 15642
0.0045289, 0.00367612, 0.000850688, 0, 83846, 17081, 0
0.00311926, 0.00248033, 0.000637673, 0, 83848, 17103, 0
0.00431043, 0.00328922, 0.0010182, 0, 83828, 17129, 0
0.00284095, 0.00231833, 0.000520908, 0, 83723, 16964, 0
0.0054552, 0.00402514, 0.00142641, 0, 83775, 16939, 0
0.00361863, 0.00288877, 0.000727492, 0, 83668, 17058, 0
0.00400567, 0.00331625, 0.000687232, 0, 83666, 17047, 0
0.00327492, 0.00244877, 0.000824126, 0, 83665, 16931, 0
0.00497372, 0.00401954, 0.000952418, 0, 83903, 17148, 0
0.00278369, 0.00220308, 0.000579155, 0, 83666, 17038, 0
0.0041442, 0.00335593, 0.000786299, 0, 83919, 17142, 0
0.00288471, 0.00230452, 0.000578454, 0, 83832, 16945, 0
0.00465659, 0.00386133, 0.000793446, 0, 83725, 17168, 0
0.00366565, 0.00286194, 0.000801073, 0, 83739, 17014, 0
0.00313082, 0.00245631, 0.000673161, 0, 83615, 17091, 0
0.0029556, 0.00236342, 0.00059052, 0, 83740, 17112, 0
0.00390593, 0.00339128, 0.000512862, 0, 83800, 16904, 0
0.00398028, 0.00343851, 0.000539145, 0, 83662, 16969, 0
0.00326384, 0.0024229, 0.000839573, 0, 83630, 17106, 0
0.00488566, 0.00384246, 0.0010403, 0, 83914, 17152, 0
0.00422163, 0.00335053, 0.000868984, 0, 83872, 16964, 0
0.00415853, 0.00339645, 0.000759803, 0, 83766, 16937, 0
0.00421342, 0.00342445, 0.0007866, 0, 83809, 17091, 0
0.0042977, 0.00344155, 0.000853942, 0, 83867, 16962, 0
0.00398122, 0.00248313, 0.00149671, 0.000368056, 85017, 16853, 28314
0.00383268, 0.00240507, 0.00142601, 0.000339014, 86893, 17455, 27390
0.00620676, 0.00412253, 0.00208237, 0.000527143, 87256, 18159, 30294
0.0110786, 0.00334836, 0.001406, 0.000445192, 86466, 18167, 35607
0.00412186, 0.0024147, 0.00170596, 0.000494223, 85566, 17955, 50721
0.02507, 0.0030381, 0.00204063, 0.000874441, 84928, 16789, 69861
0.0089982, 0.00360013, 0.00305989, 0.00100962, 85754, 16280, 64647
0.00947366, 0.00369516, 0.00294806, 0.00102298, 88578, 16660, 86130
0.0110221, 0.00389407, 0.00284432, 0.000966798, 87451, 16789, 81807
0.0247005, 0.0037493, 0.00282611, 0.000943776, 82903, 18228, 81576
0.0176262, 0.0024785, 0.00250021, 0.000861881, 81140, 19374, 104643
0.0171936, 0.00386591, 0.00335391, 0.00108837, 82047, 20627, 88374
0.0132308, 0.00390913, 0.00290337, 0.000971128, 85835, 19332, 73293
0.0251833, 0.00374857, 0.00272575, 0.0014668, 91156, 16987, 68376
0.020878, 0.00424007, 0.00212273, 0.000894717, 101060, 15916, 63921
0.0290711, 0.00347307, 0.00170305, 0.00158853, 101290, 15104, 126027
0.0117196, 0.0025076, 0.001786, 0.00102659, 102978, 16022, 114279
0.0116679, 0.0029226, 0.00207168, 0.000921455, 102424, 15446, 66891
0.0109693, 0.00444269, 0.00209776, 0.000775531, 103098, 15105, 53955
0.00689253, 0.00243611, 0.00142796, 0.000475905, 105690, 14854, 56397
0.010574, 0.00346246, 0.00170707, 0.000504884, 106347, 14864, 52536
0.0268742, 0.00868196, 0.00196781, 0.000749438, 105325, 14638, 57684
0.0153513, 0.00251178, 0.0019681, 0.000745514, 101613, 15487, 87648
0.0144703, 0.00411071, 0.00432103, 0.000997164, 99315, 16105, 79794
0.00560195, 0.00367809, 0.00192228, 0.000554689, 103194, 15577, 45903
0.0176833, 0.00361851, 0.00140338, 0.000380967, 104183, 15019, 33561
0.00550272, 0.00399378, 0.0015062, 0.000353727, 102787, 14807, 26466
0.0120895, 0.00245154, 0.0010089, 0.000254843, 98735, 14472, 26928
0.00488307, 0.00345192, 0.001429, 0.000331027, 95208, 13531, 23727
0.00752249, 0.00342334, 0.00151855, 0.000395001, 93722, 14343, 35244
0.00389311, 0.0025964, 0.00129552, 0.000329812, 92696, 14708, 27852
0.00835071, 0.00408782, 0.00198825, 0.000474105, 91943, 15482, 30525
0.0060289, 0.00428955, 0.00173728, 0.000397487, 90453, 16459, 30228
0.0101582, 0.00229902, 0.00120703, 0.000368521, 88582, 17143, 34386
0.00540123, 0.00276355, 0.00180051, 0.000464708, 86850, 17314, 29040
0.0053318, 0.00238911, 0.00146138, 0.000386376, 84722, 17909, 35277
0.00649424, 0.00253227, 0.00181357, 0.000502469, 80972, 18618, 47586
0.0068981, 0.00338779, 0.00204545, 0.000568145, 78220, 19614, 49665
0.0106366, 0.00398316, 0.00246349, 0.000770214, 75994, 20217, 62370
0.0163611, 0.00348956, 0.00268048, 0.00094891, 75776, 21739, 77880
0.0113229, 0.00440328, 0.00304648, 0.00109488, 75850, 22337, 76461
0.0254669, 0.015157, 0.00242709, 0.000786472, 76120, 22168, 62733
0.00724557, 0.00322508, 0.00232423, 0.00074003, 76678, 21169, 57948
0.00629661, 0.00223673, 0.00185337, 0.000576921, 77576, 19675, 44517
0.0102157, 0.00483283, 0.0029426, 0.000773988, 79141, 19546, 43923
0.00711697, 0.00282087, 0.0022227, 0.000684689, 81866, 20028, 54021
0.00789646, 0.00393284, 0.00170046, 0.000647892, 87033, 19626, 61017
0.010479, 0.0025001, 0.00152522, 0.000471411, 88139, 19273, 44913
0.0111534, 0.00276764, 0.00135129, 0.000505767, 88173, 18733, 42603
0.00591964, 0.00331197, 0.00142042, 0.000413797, 86932, 19017, 40854
0.00645678, 0.00430957, 0.00214478, 0.000428273, 85566, 18905, 24585
0.0129661, 0.00347977, 0.00169988, 0.000507987, 85243, 18065, 40689
0.0139405, 0.00292902, 0.00181319, 0.000669286, 85125, 16181, 39699
0.00310245, 0.00223601, 0.000864535, 0.000148687, 84498, 15023, 13068
0.014956, 0.00351745, 0.00462871, 0.000370394, 83760, 14145, 22011
0.00314308, 0.00235677, 0.000784667, 0.000103202, 83379, 13437, 7128
0.00391761, 0.00305684, 0.000859082, 8.3507e-05, 83902, 12975, 4950
0.00270858, 0.00210553, 0.000601805, 6.1931e-05, 85937, 12170, 3300
0.00438993, 0.00365904, 0.000728818, 6.3896e-05, 88845, 11611, 3069
0.00429305, 0.00351683, 0.000774853, 4.4821e-05, 90149, 11486, 1914
0.00423393, 0.00358475, 0.000646845, 1.3035e-05, 90170, 11479, 495
0.0049863, 0.00423939, 0.000744005, 0, 90167, 11500, 0
0.00406273, 0.00336208, 0.000698006, 2.4771e-05, 90273, 11433, 1155
0.00411638, 0.00339675, 0.000717639, 4.8092e-05, 90438, 11527, 2211
0.00284028, 0.00236107, 0.000477822, 1.615e-05, 90330, 11369, 957
0.00464219, 0.00399549, 0.000644728, 5.149e-06, 90260, 11470, 165
0.00462827, 0.00401722, 0.000608875, 0, 90178, 11432, 0
0.00384916, 0.00329453, 0.000552753, 4.351e-06, 90399, 11443, 198
0.00412081, 0.00355308, 0.000565738, 0, 90516, 11453, 0
0.00501523, 0.0041635, 0.000847974, 0, 90397, 11419, 0
0.0034329, 0.00276017, 0.000670286, 0, 90245, 11432, 0
0.0042393, 0.00368375, 0.00055417, 0, 90242, 11459, 0
0.00404996, 0.00348177, 0.00056611, 0, 90361, 11402, 0
0.00276085, 0.00231778, 0.000441351, 0, 90269, 11422, 0
0.00383009, 0.00326626, 0.000562121, 0, 90445, 11506, 0
0.00392351, 0.00346222, 0.000459721, 0, 90461, 11506, 0
0.00268346, 0.00229154, 0.000390832, 0, 90527, 11456, 0
0.00271623, 0.00231782, 0.000396512, 0, 90175, 11476, 0
0.00458162, 0.00395273, 0.000626366, 0, 90268, 11401, 0
0.00371526, 0.00313734, 0.00057652, 0, 90235, 11507, 0
0.00405026, 0.00336415, 0.000684447, 3.3337e-05, 89293, 11576, 1485
0.00395888, 0.003277, 0.00067947, 3.6269e-05, 85468, 12231, 1716
0.00369662, 0.00296271, 0.000732298, 4.3774e-05, 83678, 13013, 1782
0.0124893, 0.00346907, 0.000821865, 0.000330707, 84594, 13404, 24684
0.00648816, 0.003352, 0.00081471, 6.1675e-05, 84398, 13679, 2739
0.0042746, 0.00250691, 0.00065443, 5.2039e-05, 84997, 15151, 2772
0.0057849, 0.00347526, 0.0012925, 9.4169e-05, 85620, 16749, 4389
0.00584534, 0.00400441, 0.000823787, 9.3395e-05, 87633, 17828, 5808
0.00670588, 0.00378465, 0.00112827, 0.000113382, 86875, 17561, 5775
0.00769292, 0.00380862, 0.00121851, 0.000121063, 84706, 17487, 5346
0.00895328, 0.00374839, 0.00172621, 0.000180956, 79599, 19076, 9867
0.0149872, 0.00244892, 0.00109943, 0.000211926, 78517, 20500, 17655
0.0125993, 0.00237211, 0.00165976, 0.000305092, 77301, 21266, 19998
0.0110037, 0.0031269, 0.00432522, 0.00027572, 76131, 21304, 17853
0.0103644, 0.00224235, 0.00106037, 0.00020095, 75462, 20506, 17391
0.00720494, 0.00344944, 0.00102673, 0.000184339, 76798, 19960, 14685
0.0140174, 0.0044269, 0.00190863, 0.000328903, 80139, 20876, 18480
0.00771289, 0.00330165, 0.00263567, 0.000428457, 84739, 20892, 16038
0.00688702, 0.0038697, 0.00109497, 0.000164389, 87072, 20111, 13068
0.0147591, 0.00389261, 0.0013997, 0.000255666, 84031, 18396, 14025
0.00671697, 0.00405933, 0.00127844, 0.000148255, 83572, 16859, 7392
0.00503983, 0.00234549, 0.000857883, 0.000141154, 84448, 16914, 11220
0.00535144, 0.00248703, 0.00103382, 0.000188219, 89273, 18511, 15576
0.00747398, 0.0036871, 0.00152819, 0.000285028, 90777, 19431, 18810
0.00665893, 0.00367064, 0.00114322, 0.000232156, 91483, 19879, 20889
0.00832279, 0.00368752, 0.00151852, 0.000259256, 93597, 19240, 18579
0.011419, 0.00390086, 0.00172079, 0.000347992, 97643, 18320, 24783
0.0067616, 0.00316622, 0.00156438, 0.0003754, 95077, 17872, 38841
0.0136428, 0.00359338, 0.00211683, 0.00059883, 92627, 17460, 48873
0.0103581, 0.00418635, 0.0023805, 0.000560881, 91800, 18791, 40491
0.00756852, 0.00264848, 0.00189302, 0.000516047, 88702, 20379, 53328
0.00969515, 0.00399539, 0.00273036, 0.000785456, 83661, 21341, 62403
0.00728098, 0.0024852, 0.00205618, 0.000574625, 78230, 21370, 53823
0.00799411, 0.00256775, 0.00304428, 0.000954047, 75314, 21289, 73491
0.00893962, 0.00267222, 0.00201893, 0.000813374, 73980, 21119, 87714
0.00821815, 0.00284314, 0.00170285, 0.000717719, 75270, 20309, 76065
0.00723353, 0.00249722, 0.00230845, 0.000802563, 77042, 19457, 66132
0.00759089, 0.00252046, 0.00196474, 0.000756056, 78507, 19363, 69630
0.00860248, 0.00375091, 0.00178338, 0.000732071, 79613, 19082, 63162
0.00781087, 0.00291018, 0.00197931, 0.000838988, 81584, 19181, 79431
0.0120182, 0.00274798, 0.00164986, 0.000600858, 81629, 19369, 59598
0.014558, 0.00330521, 0.00231188, 0.000830006, 79836, 19656, 65274
0.0153301, 0.00321843, 0.00284864, 0.00108645, 75557, 20095, 82995
0.0149324, 0.00258531, 0.00211635, 0.000758538, 73921, 20196, 78540
0.0150684, 0.00421228, 0.00295272, 0.000952378, 71560, 20814, 67485
0.0102706, 0.00403274, 0.0033052, 0.00115811, 69039, 21794, 84645
0.00803826, 0.0026004, 0.00270304, 0.000829652, 67278, 21810, 75735
0.00996008, 0.00299475, 0.00234116, 0.00106152, 68122, 21234, 91839
0.00800462, 0.0027344, 0.00243929, 0.000938207, 68242, 21402, 85041
0.0127166, 0.0022769, 0.00317673, 0.00100365, 68355, 22103, 75372
0.00880597, 0.00346799, 0.0027008, 0.000818158, 69669, 22182, 67485
0.0116181, 0.0025902, 0.00213312, 0.00088558, 70591, 21720, 80124
0.0155022, 0.00226042, 0.00250411, 0.00110123, 72357, 21348, 93885
0.0117807, 0.00250267, 0.00193645, 0.0010171, 74577, 21124, 98637
0.0128186, 0.00259855, 0.00210988, 0.00109273, 77350, 20952, 122661
0.013679, 0.00230907, 0.00176247, 0.00152879, 81096, 19648, 195492
0.0168351, 0.00441215, 0.00306192, 0.00184673, 86299, 19597, 156519
0.0137102, 0.00290073, 0.00263257, 0.00154498, 86785, 19887, 131934
0.0187478, 0.00405309, 0.00236902, 0.00215889, 88441, 19877, 173151
0.0127226, 0.00240306, 0.00182393, 0.00133075, 88930, 20071, 124773
0.00720181, 0.00291202, 0.00171843, 0.000903021, 91113, 19292, 93555
0.0104515, 0.0042575, 0.00171195, 0.00135299, 94459, 18989, 111144
0.00857805, 0.00398368, 0.00165111, 0.000998719, 95436, 17887, 96954
0.00927005, 0.00466228, 0.00210047, 0.000912743, 96405, 16963, 79431
0.00735575, 0.00347251, 0.00145885, 0.000773033, 93656, 15977, 70323
0.00660107, 0.00247578, 0.00142901, 0.000733133, 90706, 15555, 89034
0.0080872, 0.00289603, 0.00148078, 0.000903993, 85045, 17423, 121341
0.0126822, 0.00357504, 0.00226814, 0.000976499, 80056, 18840, 113520
0.00959191, 0.00321511, 0.00214104, 0.00111261, 77507, 19621, 126720
0.00970493, 0.00330411, 0.00180839, 0.00126656, 76339, 19425, 120483
0.00947312, 0.00336738, 0.00210547, 0.00109622, 74965, 19069, 93819
0.0132668, 0.00242803, 0.00164936, 0.00115015, 74787, 19610, 117117
0.00805626, 0.00289627, 0.00182622, 0.00106533, 75424, 19878, 107976
0.00847509, 0.00341814, 0.00225508, 0.00101267, 76755, 20132, 89397
0.00854981, 0.00241428, 0.00191443, 0.00111718, 77062, 19776, 101805
0.00644295, 0.00239611, 0.00179112, 0.000683434, 77446, 19202, 75075
0.012695, 0.00276193, 0.002507, 0.00108419, 78849, 19232, 83127
0.00790242, 0.00367507, 0.00221506, 0.000839933, 79529, 19005, 58608
0.00629692, 0.00313098, 0.00151153, 0.000595051, 79755, 18532, 51084
0.00539313, 0.00371128, 0.00168037, 0.00031371, 79239, 18090, 19701
0.00379663, 0.00254638, 0.00124834, 0.000211657, 78358, 17641, 14982
0.00313569, 0.00213378, 0.0010006, 0.000167063, 77445, 16545, 11055
0.00344047, 0.00256864, 0.000870251, 0.000136214, 77469, 16157, 8712
0.00453599, 0.00344944, 0.00108417, 0.000118301, 77402, 16122, 6567
0.00415143, 0.00317563, 0.000964456, 7.9553e-05, 77578, 16166, 4224
0.00428041, 0.00340783, 0.000870902, 0.000109191, 77588, 16057, 6138
0.00395444, 0.00316586, 0.000786762, 1.432e-05, 77629, 16017, 495
0.0039065, 0.00325921, 0.000645189, 3.4371e-05, 77493, 16194, 1881
0.00351584, 0.00214239, 0.00137151, 2.864e-05, 77662, 16118, 1155
0.0029333, 0.00216482, 0.000766284, 0, 77597, 16185, 0
0.00379257, 0.00289782, 0.000892309, 0, 77659, 16187, 0
0.00405662, 0.00324874, 0.000805535, 0, 77581, 16055, 0
0.00392285, 0.00317132, 0.000749002, 0, 77586, 16079, 0
0.00369157, 0.00286869, 0.000821176, 0, 77582, 16190, 0
0.00416215, 0.00336341, 0.000796674, 0, 77588, 16055, 0
0.00445956, 0.00358584, 0.000871641, 0, 77552, 16133, 0
0.00267782, 0.00213844, 0.000537696, 0, 77518, 16207, 0
0.00319124, 0.00268331, 0.000506565, 0, 77504, 16106, 0
0.00302307, 0.00235765, 0.00066379, 0, 77670, 16196, 0
0.0026898, 0.00220832, 0.00047997, 0, 77453, 16116, 0
0.00319224, 0.00230811, 0.000882549, 0, 77566, 16046, 0
0.0031492, 0.00260458, 0.000541849, 0, 77445, 16130, 0
0.00270405, 0.0021872, 0.000515452, 0, 77538, 16101, 0
0.00420133, 0.00334076, 0.000858171, 0, 77665, 16095, 0
0.00406788, 0.00327553, 0.000790718, 0, 77401, 16121, 0
0.00287124, 0.00219971, 0.000669579, 0, 77540, 16147, 0
